name,total,leaf_ID,angle,hjust,vjust,major_organ2,lvl1,lvl1_leaf,lvl2,lvl2_leaf,n,major_organ3
circumvallate papilla,0,76,440.5714286,-0.1,0,oral,,,,circumvallate papilla,13,not modelled
cochlea,1,83,284.5714286,1.1,0,otic,,,,cochlea,3,other
collecting duct,1,102,349.7142857,1.1,0,urinary,,,,collecting duct,10,urinary
colon,10,19,65.14285714,1.1,0,gastrointestinal,,,,colon,18,gastrointestinal
cornea,6,NA,0,0.5,1.5,ocular,,,cornea,,11,ocular
corneal barrier,1,67,409.7142857,-0.1,0,ocular,,,,corneal barrier,11,ocular
corneal limbus,0,68,413.1428571,-0.1,0,ocular,,,,corneal limbus,11,not modelled
cortex,3,NA,0,0.5,1.5,neural,,,cortex,,32,neural
corticostriatal network,1,56,372,-0.1,0,neural,,,,corticostriatal network,32,neural
decidua,6,88,301.7142857,1.1,0,reproductive,,,,decidua,14,reproductive
dental follicle,0,78,447.4285714,-0.1,0,oral,,,,dental follicle,13,not modelled
dental papilla,0,79,270.8571429,1.1,0,oral,,,,dental papilla,13,not modelled
dental pulp,0,80,274.2857143,1.1,0,oral,,,,dental pulp,13,not modelled
dermal,46,NA,0,0.5,1.5,dermal,dermal,,,,6,dermal
dermal papilla,0,9,30.85714286,1.1,0,dermal,,,,dermal papilla,6,not modelled
