name,total,leaf_ID,angle,hjust,vjust,major_organ2,lvl1,lvl1_leaf,lvl2,lvl2_leaf,n,major_organ3
gastric gland,3,27,83.07692308,1.1,0,gastrointestinal,,,,gastric gland,19,gastrointestinal
gastroesophageal junction,1,18,55.38461538,1.1,0,gastrointestinal,,,,gastroesophageal junction,19,gastrointestinal
gastrointestinal,2142,NA,0,0.5,-0.8,gastrointestinal,gastrointestinal,,,,19,gastrointestinal
germinal center,7,38,296.9230769,-0.1,0,lymphatic,,,,germinal center,12,lymphatic
gingival crevice,0,80,426.1538462,-0.1,0,oral,,,,gingival crevice,14,not modelled
gliovascular unit,0,55,349.2307692,-0.1,0,neural,,,,gliovascular unit,36,not modelled
glomerulus,1,113,347.6923077,1.1,0,urinary,,,,glomerulus,10,urinary
glymphatic,0,NA,0,0.3,1.2,neural,,,glymphatic,,36,not modelled
hair follicle,16,NA,0,0.5,1.2,dermal,,,hair follicle,,6,dermal
heart,90,NA,0,0.5,1.2,cardiovascular,,,heart,,11,cardiovascular
"hepatic, pancreatic, biliary",528,NA,0,0.5,1.2,"hepatic, pancreatic, biliary","hepatic, pancreatic, biliary",,,,12,"hepatic, pancreatic, biliary"
hindbrain,11,NA,0,0.5,1.2,neural,,,hindbrain,,36,neural
hippocampus,0,60,364.6153846,-0.1,0,neural,,,,hippocampus,36,not modelled
hypopharynx,0,102,313.8461538,1.1,0,respiratory,,,,hypopharynx,16,not modelled
hypothalamus,2,61,367.6923077,-0.1,0,neural,,,,hypothalamus,36,neural
ileum,26,23,70.76923077,1.1,0,gastrointestinal,,,,ileum,19,gastrointestinal
intestine,1922,NA,0,0.5,-0.8,gastrointestinal,,,intestine,,19,gastrointestinal
intrahepatic bile duct,0,30,272.3076923,-0.1,0,"hepatic, pancreatic, biliary",,,,intrahepatic bile duct,12,"hepatic, pancreatic, biliary"
islet,51,33,281.5384615,-0.1,0,"hepatic, pancreatic, biliary",,,,islet,12,"hepatic, pancreatic, biliary"
